iata,airport_name,city,state,country,lat,lon
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,US,33.6367,-84.428101
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,US,32.896801,-97.038002
DEN,Denver International Airport,Denver,CO,US,39.860027,-104.673792
ORD,Chicago O'Hare International Airport,Chicago,IL,US,41.9786,-87.9048
LAX,Los Angeles International Airport,Los Angeles,CA,US,33.942501,-118.407997
JFK,John F. Kennedy International Airport,New York,NY,US,40.639447,-73.779317
LAS,Harry Reid International Airport,Las Vegas,NV,US,36.083361,-115.151817
MCO,Orlando International Airport,Orlando,FL,US,28.429399490356445,-81.30899810791016
MIA,Miami International Airport,Miami,FL,US,25.796011,-80.289751
CLT,Charlotte Douglas International Airport,Charlotte,NC,US,35.2140007019043,-80.94309997558594
SEA,Seattle–Tacoma International Airport,Seattle,WA,US,47.447943,-122.310276
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,US,33.435302,-112.005905
EWR,Newark Liberty International Airport,Newark,NJ,US,40.6894,-74.170545
SFO,San Francisco International Airport,San Francisco,CA,US,37.619806,-122.374821
IAH,George Bush Intercontinental Airport,Houston,TX,US,29.9844,-95.3414
BOS,Boston Logan International Airport,Boston,MA,US,42.36197,-71.0079
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,US,26.072599,-80.152702
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,MN,US,44.880081,-93.221741
LGA,LaGuardia Airport,New York,NY,US,40.777199,-73.872597
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,US,42.21377,-83.353786
PHL,Philadelphia International Airport,Philadelphia,PA,US,39.871899,-75.241096
SLC,Salt Lake City International Airport,Salt Lake City,UT,US,40.78886,-111.979866
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,US,39.1754,-76.668297
DCA,Ronald Reagan Washington National Airport,Washington,DC,US,38.8521,-77.037697
SAN,San Diego International Airport,San Diego,CA,US,32.733601,-117.190002
IAD,Washington Dulles International Airport,Dulles,VA,US,38.9445,-77.455803
TPA,Tampa International Airport,Tampa,FL,US,27.9755,-82.533203
BNA,Nashville International Airport,Nashville,TN,US,36.1245,-86.6782
AUS,Austin Bergstrom International Airport,Austin,TX,US,30.197535,-97.662015
MDW,Chicago Midway International Airport,Chicago,IL,US,41.785999,-87.752403
DAL,Dallas Love Field,Dallas,TX,US,32.844776,-96.847653
HOU,William P. Hobby Airport,Houston,TX,US,29.645336,-95.276812
STL,St. Louis Lambert International Airport,St Louis,MO,US,38.748697,-90.370003
